Country/Region,Vintage,Product Name,Grade
Alsace,2001,"Gewürztraminer Cuvée Théo 2001, Domaine Weinbach (Colette Faller et filles)",B
Alsace,2001,"Riesling Grand Cru Wineck-Schlossberg 2001, Domaine Meyer-Fonné",B
Alsace,2001,"Tokay Pinot Gris Réserve Particulière 2001, Domaine Meyer-Fonné",B
Alsace,2007,Domaine Marcel Deiss Riesling 2007,B
Alsace,2007,Pinot Gris Les Eléments 2007 (Domaine Bott-Geyl),B
Alsace,2007,Riesling Grand Cru Kirchberg 2007 (Domaine Jean Sipp),B
Alsace,2008,Pinot Gris 2008 (Domaine Rolly Gassmann),B
Alsace,2008,Riesling Grand Cru Saering 2008 (Domaines Schlumberger),B
Alsace,2010,"Gewürztraminer ""Les Princes Abbés"" 2010 (Domaines Schlumberger)",B
Argentina,2003,"Prodigo Malbec Reserva 2003, Alessandro Speri, Mendoza",B
Australian,1995,"Lindemans ""Pyrus"" Cabernet Sauvignon 1995",B
Australian,1997,"Eileen Hardy Shiraz 1997, McLaren Vale",B
Australian,1997,"Mitchells Peppertree Shiraz, Clare Valley 1997",C
Australian,2002,"D'Arenberg The Coppermine Road Cabernet Sauvignon 2002, McLaren Vale",B
Australian,2002,"Katnook Estate Prodigy Shiraz 2002, Coonawarra",B
Australian,2002,Warner Vineyard Giaconda Shiraz 2002,B
Australian,2002,Yalumba Eden Valley Viognier 2002,B
Australian,2008,"Moss Wood Chardonnay 2008, Margaret River",B
Austrian,2001,Grüner Veltliner Thal Novemberlese 2001 (Hiedler),B
Austrian,2011,"Loibner Steinertal Riesling Smaragd 2011, F X Pichler",B
Austrian,2011,"Steiner Riesling Ried Pfaffenberg Selection 2011 Trocken, Weingut Knoll",B
Bordeaux,1955,"Château Latour 1955, 1er Cru Classé, Pauillac",A1
Bordeaux,1961,"Château Gruaud-Larose 1961, 2me Cru Classé, St Julien",A1
Bordeaux,1961,"Château Latour 1961, 1er Cru Classé, Pauillac",A1
Bordeaux,1961,"Château Margaux 1961, 1er Cru Classé, Margaux",A1
Bordeaux,1962,"Château Latour 1962, 1er Cru Classé, Pauillac",A
Bordeaux,1962,"Château Margaux 1962, 1er Cru Classé, Margaux",A
Bordeaux,1970,"Château Palmer 1970, Magnums, 3me Cru Classé, Margaux",A1
Bordeaux,1970,"Château Pétrus 1970, Cru Exceptionnel, Pomerol",A1
Bordeaux,1975,"Château Cheval Blanc 1975, 1er Grand Cru Classé, St Emilion",A
Bordeaux,1975,"Château Cheval Blanc 1975, Magnums, 1er Grand Cru Classé, St Emilion",A
Bordeaux,1975,"Château Margaux 1975, 1er Cru Classé, Margaux",A
Bordeaux,1975,"Château Palmer 1975, 3me Cru Classé, Margaux",B
Bordeaux,1978,"Château Pétrus 1978, Cru Exceptionnel, Pomerol",A1
Bordeaux,1979,"Château Margaux 1979, 1er Cru Classé, Margaux",A1
Bordeaux,1981,"Château Beychevelle 1981, 4me Cru Classé, St Julien",B
Bordeaux,1981,"Château Cheval Blanc 1981, 1er Grand Cru Classé, St Emilion",A
Bordeaux,1982,"Château Beychevelle 1982, Magnums, 4me Cru Classé, St Julien",A
Bordeaux,1982,"Château Margaux 1982, 1er Cru Classé, Margaux",A1
Bordeaux,1983,"Château Cheval Blanc 1983, 1er Grand Cru Classé, St Emilion",A1
Bordeaux,1983,"Château Margaux 1983, 1er Cru Classé, Margaux",A1
Bordeaux,1985,"Château Brane-Cantenac 1985, Magnums, 2me Cru Classé, Cantenac-Margaux",B
Bordeaux,1985,"Château Cheval Blanc 1985, 1er Grand Cru Classé, St Emilion",A1
Bordeaux,1985,"Château Gruaud-Larose 1985, 2me Cru Classé, St Julien",A
Bordeaux,1985,"Château Margaux 1985, 1er Cru Classé, Margaux",A1
Bordeaux,1986,"Château Beychevelle 1986, 4me Cru Classé, St Julien",B
Bordeaux,1986,"Château Cheval Blanc 1986, 1er Grand Cru Classé, St Emilion",A1
Bordeaux,1986,"Château Cos d’Estournel 1986, Magnums, 2me Cru Classé, St Estèphe",A
Bordeaux,1986,"Château Ducru-Beaucaillou 1986, 2me Cru Classé, St Julien",B
Bordeaux,1986,"Château Giscours 1986, 3me Cru Classé, Labarde-Margaux",B
Bordeaux,1986,"Château Margaux 1986, 1er Cru Classé, Margaux",A1
Bordeaux,1986,"Château Montrose 1986, 2me Cru Classé, St Estèphe",A
Bordeaux,1986,"Château Mouton Rothschild 1986, 1er Cru Classé, Pauillac",A1
Bordeaux,1986,"Château Pichon-Longueville Baron 1986, 2me Cru Classé, Pauillac",B
Bordeaux,1986,"Château Pichon-Longueville, Comtesse de Lalande 1986, 2me Cru Classé, Pauillac",A
Bordeaux,1986,"Domaine de Chevalier 1986, Grand Cru Classé, Graves",B
Bordeaux,1986,"Le Pin 1986, Principal Growth, Pomerol",A1
Bordeaux,1986,"Vieux Château Certan 1986, Magnums, Principal Growth, Pomerol",A
Bordeaux,1988,Chateau Belair 1988,B
Bordeaux,1988,"Château Cos d’Estournel 1988, 2me Cru Classé, St Estèphe",A
Bordeaux,1988,"Château La Lagune 1988, 3me Cru Classé, Ludon (Haut Médoc)",B
Bordeaux,1988,"Château Lafite Rothschild 1988, 1er Cru Classé, Pauillac",A1
Bordeaux,1988,"Château Lynch Bages 1988, 5me Cru Classé, Pauillac",B
Bordeaux,1988,"Château Magdelaine 1988, 1er Grand Cru Classé, St Emilion",B
Bordeaux,1988,"Château Margaux 1988, 1er Cru Classé, Margaux",A1
Bordeaux,1988,"Château Mouton-Rothschild 1988, 1er Cru Classé, Pauillac",A
Bordeaux,1988,"Château Pichon-Longueville Baron 1988, 2me Cru Classé, Pauillac",B
Bordeaux,1988,"Château Rauzan-Ségla 1988, 2me Cru Classé, Margaux",B
Bordeaux,1988,"Château Troplong Mondot 1988, St Emilion",C
Bordeaux,1988,"Vieux Château Certan 1988, Cru Exceptionnel, Pomerol",B
Bordeaux,1989,"Château Angélus 1989, Grand Cru Classé, St Emilion",B
Bordeaux,1989,Chateau Beauséjour-Duffau-Lagarrosse 1989,B
Bordeaux,1989,"Château Cos d’Estournel 1989, 2me Cru Classé, St Estèphe",A
Bordeaux,1989,"Château Haut Brion 1989, 1er Cru Classé, Graves",A1
Bordeaux,1989,"Château Léoville Lascases 1989, 2me Cru Classé, St Julien",A
Bordeaux,1989,"Château Léoville Poyferré 1989, 2me Cru Classé, St Julien",B
Bordeaux,1989,"Château Mouton Rothschild 1989, 1er Cru Classé, Pauillac",A1
Bordeaux,1990,"Chateau Beychevelle 1990, 4me Cru Classé, St Julien",B
Bordeaux,1990,"Château Brane-Cantenac 1990, 2me Cru Classé, Cantenac-Margaux",B
Bordeaux,1990,"Château Calon-Ségur 1990, 3me Cru Classé, St Estèphe",B
Bordeaux,1990,"Château Canon 1990,  (Magnums) 1er Grand Cru Classé, St Emilion",B
Bordeaux,1990,"Château Canon 1990, 1er Grand Cru Classé, St Emilion",B
Bordeaux,1990,"Château Cos d’Estournel 1990, 2me Cru Classé, St Estèphe",A
Bordeaux,1990,"Château Grand-Puy-Lacoste 1990, 5me Cru Classé, Pauillac",B
Bordeaux,1990,"Château Lafite Rothschild 1990, 1er Cru Classé, Pauillac",A1
